Studio.AssetManager.ContextMenu.AddVideo,,,Add Video,Add Video,إضافة فيديو,Video hinzufügen,Añadir video,Ajouter vidéo,वीडियो जोड़ें,Tambahkan Video,Aggiungi video,ビデオを追加,비디오 추가,Dodaj film,Adicionar vídeo,,เพิ่มวิดีโอ,Video ekle,Thêm Video,添加视频,添加视频,新增影片
Studio.AssetManager.AssetItem.PendingModerationTooltip,,, This asset is pending moderation review, This asset is pending moderation review, هذا الأصل في انتظار المراجعة من الإشراف, Dieses Objekt wird noch von der Moderation geprüft, Este recurso está pendiente de moderación, Cet actif est en attente de révision de modération, इस ऐसेट का मॉडरेशन रिव्यू बाकी है, Aset ini menunggu review moderasi, Questo asset è in attesa di revisione della moderazione, このアセットは、内容審査のレビュー待ちです, 이 애셋은 현재 검열 대기 중입니다., Ten zasób oczekuje na rozpatrzenie przez moderatorów,Este ativo está pendente de revisão pela moderação,, ทรัพยากรนี้กำลังรอการตรวจสอบการแก้ไข, Bu varlık denetim bekliyor, Tài sản này đang chờ kiểm duyệt, 此素材正在审核中, 此素材正在审核中,此素材待管理員審查
Studio.AssetManager.AssetItem.FailedModerationTooltip,,, This asset has failed moderation review, This asset has failed moderation review, تعذَّر على هذا الأصل اجتياز المراجعة من الإشراف, Dieses Objekt hat die Moderationsprüfung nicht bestanden, Este recurso no superó la evaluación de moderación, Cette ressource a échoué à la révision de modération, इस ऐसेट का मॉडरेशन रिव्यू नहीं किया जा सका, Aset ini tidak lulus review moderasi, Questo asset è in attesa di revisione della moderazione, このアセットは、内容審査のレビューに通りませんでした, 이 애셋은 검열을 통과하지 못했습니다., Ten zasób nie został pomyślnie rozpatrzony przez moderatorów,Este ativo não foi aprovado pela revisão da moderação,, การตรวจสอบการแก้ไขทรัพยากรนี้ไม่สำเร็จ, Bu varlık denetimden geçenemedi, Tài sản này đã không vượt qua được kiểm duyệt, 此素材未通过审核, 此素材未通过审核,此素材未通過管理員審查
Studio.AssetManager.MainView.AssetPreviewError,,, Failed to load asset preview data, Failed to load asset preview data, تعذَّر تحميل بيانات معاينة الأصل, Objektvorschaudaten konnten nicht geladen werden, Error al cargar los datos de vista previa del recurso, Impossible de charger les données de prévisualisation de l'asset, ऐसेट प्रीव्यू डेटा लोड नहीं किया जा सका, Gagal me-load data preview aset, Impossibile caricare i dati dell'anteprima dell'asset, アセットのプレビューデータを読み込めませんでした, 애셋 미리 보기 데이터를 불러오지 못했습니다., Nie udało się wczytać danych podglądu zasobu, Falha ao carregar dados de visualização de ativos,, โหลดข้อมูลตัวอย่างทรัพยากรไม่สำเร็จ, Varlık ön izleme verileri yüklenemedi, Không tải được dữ liệu xem trước tài sản, 无法加载素材预览数据, 无法加载素材预览数据,無法載入素材預覽資料
Studio.AssetManager.SearchBar.GlobalPlaceholderText,,,Filter Assets,Filter Assets,فلترة الأصول,Objekte filtern,Filtrar recursos,Filtrer les contenus,ऐसेट्स फ़िल्टर करें,Filter Aset,Filtra Attività,アセットをフィルタする,애셋 필터링,Filtruj zasoby,Filtrar ativos,,กรองทรัพยากร,Varlıkları filtrele,Lọc Tài Sản,筛选素材,筛选素材,篩選素材
Studio.AssetManager.TopBar.SortButton,,, Sorting Options, Sorting Options, خيارات الترتيب, Sortieroptionen, Opciones de clasificación, Options de tri, क्रम से लगाने के लिए विकल्प, Opsi Urutan, Opzioni di ordinamento, 並べ替えオプション, 정렬 옵션, Opcje sortowania, Opções de classificação,, ตัวเลือกการเรียงลำดับ, Sıralama seçenekleri, Sắp Xếp Tùy Chọn, 排序选项, 排序选项,排序選項
Studio.AssetManager.SortOption.RecentlyAdded,,, Recently Added, Recently Added, المُضافة مؤخرًا, Kürzlich hinzugefügt, Añadido recientemente, Ajouté récemment,हाल ही में जोड़ा गया, Baru Saja Ditambahkan, Aggiunti di recente, 最近、追加されたもの, 최근 추가된 항목, Ostatnio dodane, Adicionado recentemente,, เพิ่มล่าสุด, Son eklenenler, Mới Thêm, 最近添加, 最近添加,最近新增
Studio.AssetManager.SortOption.RecentlyUsed,,, Recently Used, Recently Used, المستخدمة مؤخرًا, Kürzlich verwendet, Usado recientemente, Récemment utilisé, हाल ही में इस्तेमाल किया गया, Baru Saja Digunakan, Utilizzato di recente, 最近使用したもの, 최근 사용된 항목, Ostatnio używane, Usado recentemente,, ใช้ล่าสุด, Son kullanılanlar, Mới Sử Dụng, 最近使用, 最近使用,最近使用
Studio.AssetManager.SortOption.AscendingName,,, Name (Ascending), Name (Ascending), الاسم (تصاعديًا), Name (aufsteigend), Nombre (Ascendente), Nom (Ascendant), नाम (बढ़ते क्रम में), Nama (Urutan Menaik), Nome (Ascendente), 名前 (昇順), 이름(오름차순), Nazwa (rosnąco), Nome (Ascendente),, ชื่อ (จากน้อยไปหามาก), Ad (Artan), Tên (Từ A đến Z), 名称 (升序), 名称 (升序),名稱（由上到下）
Studio.AssetManager.SortOption.DescendingName,,, Name (Descending), Name (Descending), الاسم (تنازليًا), Name (absteigend), Nombre (Descendente), Nom (Ascendant), नाम (घटते क्रम में), Nama (Urutan Menurun), Nome (Discendente), 名前 (降順), 이름(내림차순), Nazwa (malejąco), Nome (Descendente),, ชื่อ (จากมากไปหาน้อย), Ad (Azalan), Tên (Từ Z đến A), 名称 (降序), 名称 (降序),名稱（由下到上）
Studio.AssetManager.Plugin.Name,,,Asset Manager,Asset Manager,مدير الأصول,Asset Manager,Gestor de recursos,Gestionnaire des contenus,ऐसेट मैनेजर,Manajer Aset,Manager risorse,アセット管理,애셋 관리자,Menedżer zasobów,Gerenciador de ativos,,เครื่องมือจัดการทรัพยากร,Varlık Yöneticisi,Trình Quản Lý Tài Sản,素材管理器,素材管理器,素材管理器
Studio.AssetManager.MainView.ConfirmText,,,Confirm,Confirm,تأكيد,Bestätigen,Confirmar,Confirmer,कन्फ़र्म करें,Konfirmasi,Conferma,確認,확인,Potwierdź,Confirmar,,ยืนยัน,Onayla,Xác Nhận,确认,确认,確認
Studio.AssetManager.MainView.ConfirmRemovePlaceText,,,Are you sure you would like to remove the selected place(s)?,Are you sure you would like to remove the selected place(s)?,هل أنت متأكد من أنك تريد إزالة المكان المحدد (الأمكنة المحددة)؟,Möchtest du diese(n) ausgewählte(n) Ort(e) wirklich entfernen?,¿Realmente quieres eliminar el(los) lugar(es) seleccionado(s)?,Es-tu sûr de vouloir supprimer les lieux sélectionnés ?,क्या आपको वाकई चुने गए प्लेस को हटाना है?,Kamu yakin ingin menghapus tempat yang dipilih?,Vuoi davvero rimuovere i luoghi selezionati?,選択済みのプレースを削除しますか？,선택한 플레이스를 정말 삭제할까요?,Czy na pewno chcesz usunąć zaznaczone miejsca?,Tem certeza de que deseja remover os locais selecionados?,,คุณแน่ใจหรือไม่ว่าต้องการลบสถานที่ที่เลือก?,Seçili mekân(lar)ı kaldırmak istediğinden emin misin?,Bạn có chắc chắn muốn xóa địa điểm đã chọn không?,你确定要移除所选场景吗？,你确定要移除所选场景吗？,確定要移除選擇的地點嗎？
Studio.AssetManager.MainView.CancelText,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.AssetManager.Search.Placeholder,,,Search,Search,بحث,Suche,Buscar,Rechercher,सर्च करें,Cari,Cerca,サーチ,검색,Szukaj,Pesquisar,,ค้นหา,Ara,Tìm kiếm,搜索,搜索,搜尋
Studio.AssetManager.Plugin.PlaceholderUsername,,,My Inventory,My Inventory,مقتنياتي,Mein Inventar,Mi inventario,Mon inventaire,मेरी इन्वेंट्री,Inventaris Saya,Il mio inventario,持ち物,내 인벤토리,Moje wyposażenie,Meu inventário,,คลังไอเท็มของฉัน,Envanterim,Kho Đồ Của Tôi,我的库存,我的库存,我的道具欄
Studio.AssetManager.PluginErrors.ErrorFetchUsername,,, Could not fetch user info, Could not fetch user info, تعذَّر جلب معلومات المستخدم, Benutzerinformationen konnten nicht abgerufen werden, No se pudo obtener la información del usuario, Impossible de récupérer les informations utilisateur, यूज़र की जानकारी नहीं निकाली जा सकी, Tidak dapat mengambil info pengguna, Impossibile recuperare le informazioni dell'utente, ユーザー情報を取得できませんでした, 사용자 정보를 가져올 수 없습니다, Nie udało się pobrać informacji o użytkowniku, Não foi possível obter informações do usuário,, ไม่สามารถดึงข้อมูลผู้ใช้งานได้, Kullanıcı bilgileri alınamadı, Không thể tìm nạp thông tin người dùng, 无法获取用户信息, 无法获取用户信息,無法擷取使用者資訊
Studio.AssetManager.AssetProperty.AssetId,,,Asset ID,Asset ID,مُعرِّف الأصل,Objekt-ID,ID del recurso,Identifiant du contenu,ऐसेट ID,ID Aset,ID risorsa,アセットID,애셋 ID,Identyfikator zasobu,ID do ativo,,ID ทรัพยากร,Varlık kimliği,ID Tài Sản,素材 ID,素材 ID,素材 ID
Studio.AssetManager.AssetProperty.AssetType,,,Asset Type,Asset Type,نوع الأصل,Objekttyp,Tipo de recurso,Type de contenu,ऐसेट टाइप,Tipe Aset,Tipo di risorsa,アセットタイプ,애셋 유형,Typ zasobu,Tipo de ativo,,ประเภททรัพยากร,Varlık türü,Loại Tài Nguyên,素材类型,素材类型,素材類型
Studio.AssetManager.AssetProperty.DisplayName,,,Name,Name,الاسم,Name,Nombre,Nom,नाम,Nama,Nome,名前,이름,Nazwa,Nome,,ชื่อ,Ad,Tên,名称,名称,名稱
Studio.AssetManager.AssetProperty.VersionNumber,,,Version,Version,الإصدار,Version,Versión,Version,वर्ज़न,Versi,Versione,バージョン,버전,Wersja,Versão,,เวอร์ชัน,Sürüm,Phiên Bản,版本,版本,版本
Studio.AssetManager.AssetProperty.Created,,,Date Created,Date Created,تاريخ الإنشاء,Erstellungsdatum,Fecha de creación,Date de création,क्रिएट करने की तारीख,Tanggal Dibuat,Data di creazione,作成日,만든 날짜,Data utworzenia,Data de criação,,สร้างเมื่อ,Oluşturulma tarihi,Ngày Tạo,创建日期,创建日期,建立日期
Studio.AssetManager.AssetProperty.Modified,,,Date Modified,Date Modified,تاريخ التعديل,Modifizierungsdatum,Fecha de modificación,Date de modification,बदलाव की तारीख,Tanggal Diubah,Data di modifica,変更日,수정한 날짜,Data modyfikacji,Data de modificação,,แก้ไขเมื่อ,Düzenlenme tarihi,Ngày Sửa Đổi,修改日期,修改日期,修改日期
Studio.AssetManager.AssetProperty.ModerationStatus,,,Moderation Status,Moderation Status,حالة الإشراف,Moderationsstatus,Estado de moderación,Statut de modération,मॉडरेशन स्टेटस,Status Moderasi,Stato di moderazione,内容審査状況,검열 상태,Status moderacji,Status da moderação,,สถานะการกลั่นกรอง,Denetim Durumu,Trạng Thái Kiểm Duyệt,审核状态,审核状态,審核狀態
Studio.AssetManager.AssetProperty.Owner,,,Owner,Owner,المالك,Eigentümer,Propietario,Propriétaire,ओनर,Pemilik,Proprietario,所有者,소유자,Właściciel,Proprietário(a),,เจ้าของ,Sahip,Người Sở Hữu,所有者,所有者,擁有者
Studio.AssetManager.ContextMenu.CopyAssetId,,,Copy Asset ID,Copy Asset ID,نسخ مُعرِّف الأصل,Objekt-ID kopieren,Copiar ID del recurso,Copier identifiant contenu,ऐसेट ID कॉपी करें,Salin ID Aset,Copia ID risorsa,アセットIDをコピー,애셋 ID 복사,Skopiuj identyfikator zasobu,Copiar ID do ativo,,คัดลอก ID ทรัพยากร,Varlık kimliğini kopyala,Sao Chép ID Tài Sản,复制素材 ID,复制素材 ID,複製素材 ID
Studio.AssetManager.ContextMenu.ViewInBrowser,,,View in Browser,View in Browser,عرض في المتصفح,In Browser anzeigen,Ver en navegador,Voir dans le navigateur,ब्राउज़र में देखें,Lihat di Browser,Visualizza nel browser,ブラウザで表示,브라우저에서 보기,Wyświetl w przeglądarce,Ver no navegador,,ดูในเบราว์เซอร์,Tarayıcıda görüntüle,Xem Trong Trình Duyệt,在浏览器中查看,在浏览器中查看,在瀏覽器中檢視
Studio.AssetManager.AssetType.Model,,,Model,Model,النموذج,Modell,Modelo,Modèle,मॉडल,Model,Modello,モデル,모델,Model,Modelo,,โมเดล,Model,Mô Hình,模型,模型,模型
Studio.AssetManager.AssetType.Mesh,,,Mesh,Mesh,أصل Mesh,Mesh,Malla,Maillage,मेश,Mesh,Mesh,メッシュ,메시,Siatka,Malha,,เมช,Mesh,Khung Lưới,网格,网格,網格
Studio.AssetManager.AssetType.Image,,,Image,Image,الصورة,Bild,Imagen,Image,इमेज,Gambar,Immagine,画像,이미지,Obraz,Imagem,,ภาพ,Görsel,Hình Ảnh,图像,图像,圖像
Studio.AssetManager.AssetType.Audio,,,Audio,Audio,الصوت,Audio,Audio,Audio,ऑडियो,Audio,Audio,オーディオ,오디오,Dźwięk,Áudio,,เสียง,Ses,Âm Thanh,音频,音频,音訊
Studio.AssetManager.AssetType.Video,,,Video,Video,الفيديو,Video,Video,Vidéo,वीडियो,Video,Video,ビデオ,동영상,Film,Vídeo,,วิดีโอ,Video,Video,视频,视频,影片
Studio.AssetManager.AssetType.Decal,,,Decal,Decal,الملصق,Aufkleber,Adhesivo,Decal,डीकैल,Stiker,Decalcomania,デカール,데칼,Naklejka,Adesivo,,สติกเกอร์,Çıkartma,Đề Can,贴花,贴花,貼花
Studio.AssetManager.AssetType.Animation,,,Animation,Animation,الحركة,Animation,Animación,Animation,ऐनिमेशन,Animasi,Animazione,アニメーション,애니메이션,Animacja,Animação,,แอนิเมชัน,Animasyon,Hiệu Ứng Động,动画,动画,動畫
Studio.AssetManager.Filters.Owner,,,Owner,Owner,المالك,Eigentümer,Propietario,Propriétaire,ओनर,Pemilik,Proprietario,所有者,소유자,Właściciel,Proprietário(a),,เจ้าของ,Sahip,Người Sở Hữu,所有者,所有者,擁有者
Studio.AssetManager.Filters.AssetTypes,,,Type,Type,النوع,Typ,Tipo,Type,टाइप,Tipe,Tipo,タイプ,유형,Typ,Tipo,,ประเภท,Tür,Loại,类型,类型,類型
Studio.AssetManager.Tooltip.ClearFilters,,,Clear Filters,Clear Filters,مسح الفلاتر,Filter löschen,Borrar filtros,Effacer les filtres,फ़िल्टर हटाएँ,Hapus Filter,Rimuovi filtri,並べ替えを消す,필터 지우기,Wyczyść filtry,Limpar filtros,,เคลียร์ตัวกรอง,Filtreleri temizle,Xóa Bộ Lọc,清除筛选条件,清除筛选条件,清除篩選器
Studio.AssetManager.AssetType.Package,,,Package,Package,الحزمة,Paket,Paquete,Package,पैकेज,Paket,Pacchetto,パッケージ,패키지,Pakiet,Pacote,,แพ็คเกจ,Paket,Gói,包,包,套件
Studio.AssetManager.Tooltip.Refresh,,,Refresh assets,Refresh assets,تحديث الأصول,Objekte aktualisieren,Actualizar recursos,Rafraîchir les contenus,ऐसेट रीफ़्रेश करें,Refresh aset,Aggiorna risorse,アセットをリフレッシュ,애셋 새로 고침,Odśwież zasoby,Atualizar ativos,,รีเฟรชทรัพยากร,Varlıkları yenile,Làm mới tài nguyên,刷新素材,刷新素材,重新整理素材
Studio.AssetManager.Tooltip.BulkImport,,,Import,Import,استيراد,Importieren,Importar,Importer,इंपोर्ट करें,Impor,Importa,インポートする,가져오기,Importuj,Importar,,นำเข้า,İçe aktar,Nhập,导入,导入,匯入
Studio.AssetManager.Tooltip.BulkImportDisabled,,,You must publish the experience to use the importer,You must publish the experience to use the importer,يجب عليك نشر التجربة لاستخدام أداة الاستيراد,"Du musst die Experience veröffentlichen, um den Importservice nutzen zu können",Debes publicar la experiencia para utilizar el importador,Tu dois publier l'expérience pour utiliser l'importateur,"इंपोर्टर का इस्तेमाल करने के लिए, आपको एक्सपीरिएंस पब्लिश करना होगा",Kamu harus memublikasikan pengalaman virtual agar bisa menggunakan pengimpor,"Per usare lo strumento l'importatore, devi prima pubblicare l'esperienza",インポーターを使用するにはバーチャル空間を公開する必要があります,임포터를 사용하려면 체험을 게시해야 합니다,"Aby użyć narzędzia do importowania, musisz opublikować projekt",Você deve publicar a experiência para usar o importador,,คุณต้องเผยแพร่ประสบการณ์เพื่อใช้งานเครื่องมือนำเข้า,İçe aktarıcıyı kullanmak için deneyimi yayınlaman gerekir,Bạn phải phát hành trải nghiệm để sử dụng công cụ nhập,你必须发布体验才能使用导入器,你必须发布体验才能使用导入器,您必須發佈體驗才能使用匯入器
Studio.AssetManager.Filters.Creator,,,Creator,Creator,المصمّم,Creator,Creador,Créateur,क्रिएटर,Kreator,Creatore,クリエーター,크리에이터,Twórca,Criador,,ครีเอเตอร์,Oluşturan,Người Tạo,创作者,创作者,創作者
Studio.AssetManager.AssetProperty.Creator,,,Creator,Creator,المصمّم,Creator,Creador,Créateur,क्रिएटर,Kreator,Creatore,クリエーター,크리에이터,Twórca,Criador,,ครีเอเตอร์,Oluşturan,Người Tạo,创作者,创作者,創作者
Studio.AssetManager.Plugin.NoAssets,,,No results found,No results found,لا توجد نتائج,Keine Ergebnisse gefunden,Sin resultados,Aucun résultat trouvé,कोई रिज़ल्ट नहीं मिला,Tidak menemukan hasil,Nessun risultato trovato,結果が見つかりません,결과 없음,Nie znaleziono wyników,Nenhum resultado encontrado,,ไม่พบผลลัพธ์,Sonuç bulunamadı,Không tìm thấy kết quả,未找到结果,未找到结果,找不到結果
Studio.AssetManager.SearchOptions.Cancel,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy bỏ,取消,取消,取消
Studio.AssetManager.SearchOptions.Filters,,,Filters,Filters,الفلاتر,Filter,Filtros,Filtres,फ़िल्टर्स,Filter,Filtri,並べ替え,필터,Filtry,Filtros,,ตัวกรอง,Filtreler,Bộ lọc,筛选条件,筛选条件,篩選器
Studio.AssetManager.SearchOptions.Search,,,Search,Search,بحث,Suche,Búsqueda,Rechercher,सर्च करें,Cari,Cerca,サーチ,검색,Szukaj,Pesquisar,,ค้นหา,Ara,Tìm kiếm,搜索,搜索,搜尋
Studio.AssetManager.SearchOptions.SearchResults,,,Search Results,Search Results,نتائج البحث,Suchergebnisse,Resultados de la búsqueda,Résultats de recherche,सर्च रिज़ल्ट्स,Hasil Pencarian,Risultati di ricerca,サーチ結果,검색 결과,Wyniki wyszukiwania,Pesquisar nos resultados,,ผลลัพธ์การค้นหา,Arama Sonuçları,Kết Quả Tìm Kiếm,搜索结果,搜索结果,搜尋結果
Studio.AssetManager.SearchOptions.Source,,,Source,Source,المصدر,Quelle,Fuente,Source,सोर्स,Sumber,Sorgente,出典,소스,Źródło,Fonte,,แหล่งที่มา,Kaynak,Nguồn,来源,来源,來源
Studio.AssetManager.Scopes.Hide,,,Hide Group,Hide Group,إخفاء المجموعة,Gruppe ausblenden,Ocultar grupo,Masquer le groupe,ग्रुप छिपाएँ,Sembunyikan Grup,Nascondi gruppo,グループを非表示,그룹 숨기기,Ukryj grupę,Ocultar grupo,,ซ่อนกลุ่ม,Grubu gizle,Ẩn Nhóm,隐藏群组,隐藏群组,隱藏群組
Studio.AssetManager.Scopes.Customize,,,Customize Groups,Customize Groups,تخصيص المجموعات,Gruppen anpassen,Personalizar grupos,Personnaliser les groupes,कस्टमाइज़ किए गए ग्रुप्स,Kustomisasi Grup,Personalizza gruppi,グループをカスタマイズ,그룹 사용자 정의,Dostosuj grupy,Personalizar grupos,,กำหนดกลุ่ม,Grupları özelleştir,Tùy Chỉnh Nhóm,自定义群组,自定义群组,自訂群組
Studio.AssetManager.Scopes.Refresh,,,Refresh Groups,Refresh Groups,تحديث المجموعات,Gruppen aktualisieren,Actualizar grupos,Rafraîchir les groupes,ग्रुप्स रीफ़्रेश करें,Refresh Grup,Aggiorna gruppi,グループをリフレッシュ,그룹 새로 고침,Odśwież grupy,Atualizar grupos,,รีเฟรชกลุ่ม,Grupları yenile,Làm Mới Nhóm,刷新群组,刷新群组,重新整理群組
Studio.AssetManager.Scopes.CancelOptions,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy bỏ,取消,取消,取消
Studio.AssetManager.Scopes.SaveOptions,,,Save,Save,حفظ,Speichern,Guardar,Enregistrer,सेव करें,Simpan,Salva,保存,저장,Zapisz,Salvar,,บันทึก,Kaydet,Lưu,保存,保存,儲存
Studio.AssetManager.Scopes.OptionsTitle,,,Customize Sidebar,Customize Sidebar,تخصيص الشريط الجانبي,Seitenleiste anpassen,Personalizar barra lateral,Personnaliser la barre latérale,साइडबार कस्टमाइज़ करें,Kustomisasi Bilah Samping,Personalizza barra laterale,サイドメニューをカスタマイズ,사이드바 사용자 정의,Dostosuj pasek boczny,Personalizar barra lateral,,ปรับแต่งอวาตาร์แถบข้าง,Kenar Çubuğunu Özelleştir,Tùy Chỉnh Thanh Bên,自定义侧边栏,自定义侧边栏,自訂側邊欄
Studio.AssetManager.Scopes.OptionsDescription,,,Your selection will also customize which items you want to see in your sidebar and search options.,Your selection will also customize which items you want to see in your sidebar and search options.,سيؤدي أيضًا التحديد الذي تجريه إلى تخصيص العناصر التي تريد رؤيتها في الشريط الجانبي وخيارات البحث.,"Durch deine Auswahl kannst du außerdem anpassen, welche Elemente du in deiner Seitenleiste und in den Suchoptionen sehen möchtest.",Tu selección también personalizará qué elementos quieres ver en tu barra lateral y opciones de búsqueda.,Votre sélection personnalisera également les éléments que vous souhaitez voir dans votre barre latérale et les options de recherche.,आपका सिलेक्शन यह भी कस्टमाइज़ करेगा कि आपको अपने साइडबार और खोज विकल्पों में कौन-से आइटम देखने हैं.,Pilihanmu juga akan mengustomisasi item yang ingin kamu lihat di bilah samping dan opsi pencarian.,Questa opzione ti permetterà di scegliere anche quali elementi visualizzare nella barra laterale e nelle opzioni di ricerca.,サイドメニューや検索オプションで表示したい項目をカスタマイズすることもできます。,선택 항목에 따라 사이드바 및 검색 옵션에 표시할 항목도 사용자 정의됩니다.,"Zaznaczając, dostosujesz również elementy, które mają być widoczne na pasku bocznym i w opcjach wyszukiwania.",Sua seleção também personalizará os itens que você deseja ver na sua barra lateral e opções de pesquisa.,,การเลือกของคุณจะกำหนดว่าคุณต้องการเห็นรายการใดบ้างในแถบข้างและตัวเลือกการค้นหา,"Seçimin, kenar çubuğunda ve arama seçeneklerinde görmek istediğin öğeleri de özelleştirecek.",Lựa chọn của bạn cũng sẽ tùy chỉnh những mục bạn muốn thấy trong thanh bên và tùy chọn tìm kiếm.,你的选择还会自定义你希望在侧边栏和搜索选项中看到的项目。,你的选择还会自定义你希望在侧边栏和搜索选项中看到的项目。,您的選擇也會自訂您想要在側邊攔和搜尋選項中看到哪些項目。
Studio.AssetManager.Scopes.SelectAll,,,Select All,Select All,تحديد الكل,Alles auswählen,Seleccionar todo,Tout sélectionner,सभी को चुनें,Pilih Semua,Seleziona tutto,すべて選択,전체 선택,Zaznacz wszystko,Selecionar tudo,,เลือกทั้งหมด,Tümünü seç,Chọn Tất Cả,全选,全选,選擇全部
Studio.AssetManager.Filters.ResetFilters,,,Reset Filters,Reset Filters,إعادة تعيين الفلاتر,Filter zurücksetzen,Restablecer filtros,Réinitialiser les filtres,फ़िल्टर्स को रीसेट करें,Reset Filter,Azzera filtri,並べ替えをリセット,필터 재설정,Zresetuj filtry,Redefinir filtros,,รีเซ็ตตัวกรอง,Filtreleri sıfırla,Đặt Lại Bộ Lọc,重置筛选条件,重置筛选条件,重置篩選器
Studio.AssetManager.AssetType.FontFamily,,,FontFamily,FontFamily,FontFamily,FontFamily,FontFamily,FontFamily,FontFamily,FontFamily,Famiglia di font,FontFamily,폰트 패밀리,FontFamily,FontFamily,,FontFamily,FontFamily,FontFamily,FontFamily,FontFamily,FontFamily
Studio.AssetManager.AssetType.Plugin,,,Plugin,Plugin,المكوَّن الإضافي,Plugin,Plugin,Plug-in,प्लग-इन,Plugin,Plugin,プラグイン,플러그인,Dodatek plug-in,Plugin,,ปลั๊กอิน,Eklenti,Plugin,插件,插件,外掛程式
Studio.AssetManager.AssetType.MeshPart,,,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,Parte di mesh,MeshPart,메시 파트,MeshPart,MeshPart,,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart,MeshPart
Studio.AssetManager.ContextMenu.InsertAsset,,,Insert Asset,Insert Asset,إدراج أصل,Objekt einfügen,Insertar recurso,Insérer un contenu,ऐसेट इंसर्ट करें,Masukkan Aset,Inserisci risorsa,アセットの挿入,애셋 삽입,Wstaw zasób,Inserir ativo,,แทรกทรัพยากร,Varlık ekle,Chèn Tài Nguyên,插入素材,插入素材,插入素材
Studio.AssetManager.ContextMenu.InsertSelection,,,Insert Selection,Insert Selection,إدراج التحديد,Auswahl einfügen,Insertar selección,Insérer la sélection,सिलेक्शन इंसर्ट करें,Masukkan Pilihan,Inserisci selezione,選択項目を挿入,선택 사항 삽입,Wstaw zaznaczenie,Inserir seleção,,แทรกส่วนที่เลือก,Seçimi ekle,Chèn Lựa Chọn,插入选择项,插入选择项,插入選擇項目
Studio.AssetManager.ContextMenu.InsertAtCamera,,,Insert at Camera,Insert at Camera,إدراج في الكاميرا,Bei Kamera einfügen,Insertar en Cámara,Insérer dans la caméra,कैमरे पर इंसर्ट करें,Masukkan ke Kamera,Inserisci nella videocamera,カメラの方向に挿入,카메라에 삽입,Wstaw w pozycji kamery,Inserir na câmera,,แทรกที่กล้อง,Kamerada ekle,Chèn vào Camera,在摄像头对准处插入,在摄像头对准处插入,在攝影機對準處插入
Studio.AssetManager.ContextMenu.InsertAtAssetPosition,,,Insert at Asset Position,Insert at Asset Position,إدراج في موضع الأصل,An Objektposition einfügen,Insertar en Posición de recursos,Insérer à la position du contenu,ऐसेट पोज़िशन पर इंसर्ट करें,Masukkan ke Posisi Aset,Inserisci nella posizione della risorsa,アセット位置に挿入,애셋 위치에 삽입,Wstaw w pozycji zasobu,Inserir na posição do ativo,,แทรกที่ตำแหน่งทรัพยากร,Varlık pozisyonunda ekle,Chèn vào Vị Trí Tài Nguyên,在素材位置插入,在素材位置插入,在素材位置插入
Studio.AssetManager.Plugin.PlaceholderGameName,,,My Project,My Project,مشروعي,Mein Projekt,Mi proyecto,Mon projet,मेरा प्रोजेक्ट,Proyek Saya,Il mio progetto,マイプロジェクト,내 프로젝트,Mój projekt,Meu projeto,,โครงการของฉัน,Projem,Dự Án Của Tôi,我的项目,我的项目,我的專案
Studio.AssetManager.SearchOptions.FilterPlaceholder,,,Filter,Filter,الفلتر,Filter,Filtro,Filtre,फ़िल्टर,Filter,Filtra,並べ替え,필터,Filtr,Filtro,,ตัวกรอง,Filtre,Bộ Lọc,筛选,筛选,篩選條件
Studio.AssetManager.AssetProperty.Source,,,Source,Source,المصدر,Quelle,Fuente,Source,सोर्स,Sumber,Origine,出典,소스,Źródło,Fonte,,แหล่งที่มา,Kaynak,Nguồn,来源,来源,來源
Studio.AssetManager.AssetProperty.Archived,,,Archived,Archived,تمت إضافته إلى الأرشيف,Archiviert,Archivado,Archivé,आर्काइव किया गया,Diarsipkan,Archiviato,アーカイブ済み,보관함,Zarchiwizowano,Arquivado,,เก็บถาวรแล้ว,Arşivlenmiş,Đã Lưu Trữ,已归档,已归档,已封存
Studio.AssetManager.AssetSource.Uploaded,,,Uploaded,Uploaded,تم الرفع,Hochgeladen,Cargado,Téléchargé,अपलोड किया गया,Di-upload,Caricato,アップロード済み,업로드함,Przesłano,Enviado,,อัปโหลดแล้ว,Yüklenmiş,Đã Tải Lên,已上传,已上传,已上傳
