Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
InGame.ConnectionError.PlacelaunchUserLeft,,,The user you attempted to join has left the experience.,"Benutzer, der sich versucht hat, beizutreten, hat die Experience verlassen.",The user you attempted to join has left the experience.,El usuario al que querías unirte salió de la experiencia.,El usuario al que querías unirte salió de la experiencia.,L'utilisateur que tu as tenté de rejoindre a quitté l'expérience.,Pengguna yang kamu ikuti sudah keluar dari pengalaman virtual.,L'utente a cui hai tentato di partecipare ha abbandonato l'esperienza.,参加しようとしていたユーザーがバーチャル空間から退出しました。,함께 방문하려던 사용자가 체험을 나갔습니다.,O usuário ao qual você estava tentando se juntar saiu da experiência.,O usuário ao qual você estava tentando se juntar saiu da experiência.,"Пользователь, к которому ты пытаешься присоединиться, покинул плейс.",ผู้ใช้ที่คุณต้องการเข้าร่วมได้ออกจากประสบการณ์แล้ว,你关注的用户已离开此体验，无法加入。,您嘗試跟隨的使用者已離開體驗。,你关注的用户已离开此体验，无法加入。,"Użytkownik, do którego próbujesz dołączyć, opuścił projekt.",Người dùng bạn cố gắng tham gia cùng đã rời khỏi trải nghiệm.,Katılmaya çalıştığın kullanıcı deneyimden ayrıldı.,المستخدم الذي تحاول الانضمام إليه قد غادر هذه التجربة.
InGame.ConnectionError.PlacelaunchUserPrivacyUnauthorized,,,Your privacy settings prevent you from joining this server.,"Deine Datenschutzeinstellungen verhindern, dass du diesem Server beitreten kannst.",Your privacy settings prevent you from joining this server.,Tu configuración de privacidad te impide unirte a este servidor.,Tu configuración de privacidad te impide unirte a este servidor.,Tes paramètres de confidentialité t'empêchent de rejoindre ce serveur.,Pengaturan chat mencegah kamu untuk bergabung ke server ini.,Le tue impostazioni sulla privacy ti impediscono di unirti a questo server.,プライバシー設定により、このサーバーに参加できません。,개인정보 설정으로 인해 이 서버에 참가할 수 없습니다.,Suas configurações de privacidade impedem que você entre neste servidor.,Suas configurações de privacidade impedem que você entre neste servidor.,Твои настройки конфиденциальности не позволяют соединиться с этим сервером.,การตั้งค่าความเป็นส่วนตัวของคุณทำให้คุณไม่สามารถเข้าร่วมเซิร์ฟเวอร์นี้ได้,你的隐私设置不允许你加入此服务器。,您的隱私設定不允許您加入此伺服器。,你的隐私设置不允许你加入此服务器。,Ustawienia prywatności uniemożliwiają dołączenie do tego serwera.,Bạn có cài đặt quyền riêng tư khiến bạn không thể kết nối máy chủ này.,Gizlilik ayarların bu sunucuya katılmanı engelliyor.,إعدادات الخصوصية لديك تمنعك من الانضمام إلى هذا الخادم.
InGame.ConnectionError.Queue,,,Your position in line: {POSITION},Deine Position in der Warteschlange: {POSITION},Your position in line: {POSITION},Tu posición en la fila: {POSITION},Tu posición en la fila: {POSITION},Votre position en ligne : {POSITION},Posisimu dalam antrian: {POSITION},La tua posizione in fila: {POSITION},あなたの順番: {POSITION},내 순서: {POSITION},Sua posição na fila: {POSITION},Sua posição na fila: {POSITION},Место в очереди: {POSITION},ลำดับของคุณในแถว: {POSITION},你在队伍中的位置：{POSITION},您在隊列的位置：{POSITION},你在队伍中的位置：{POSITION},Twoje miejsce w kolejce: {POSITION},Vị trí xếp hàng của bạn: {POSITION},{POSITION}. sıradasın,مكانك في الخط: {POSITION}
InGame.ConnectionError.ReconnectFailed,,,Reconnect was unsuccessful. Please try again.,Wiederverbindung war nicht erfolgreich. Bitte versuche es erneut.,Reconnect was unsuccessful. Please try again.,Error en la reconexión. Inténtalo de nuevo.,Error en la reconexión. Inténtalo de nuevo.,Ta tentative de connexion a échoué. Réessaye.,Menghubungkan kembali tidak berhasil. Coba lagi.,Riconnessione non riuscita. Riprova.,再接続できませんでした。もう一度やり直してください。,재연결에 실패했어요. 다시 시도하세요,Falha ao reconectar. Tente novamente.,Falha ao reconectar. Tente novamente.,Повторное соединение не удалось. Повтори попытку.,เชื่อมต่ออีกครั้งไม่สำเร็จ โปรดลองอีกครั้ง,重新连接未成功。请重试。,重新連線失敗，請再試一次。,重新连接未成功。请重试。,Ponowne połączenie nie powiodło się. Spróbuj ponownie.,Kết nối lại không thành công. Vui lòng thử lại.,Yeniden bağlanma başarısız oldu. Lütfen tekrar dene.,لم تنجح إعادة الاتصال. الرجاء المحاولة مجددًا.
InGame.ConnectionError.TeleportErrors,,,Teleport failed due to an unexpected error. Please try teleporting again.,Teleport ist aufgrund eines unerwarteten Fehlers fehlgeschlagen. Bitte versuche es erneut.,Teleport failed due to an unexpected error. Please try teleporting again.,El teletransporte falló debido a un error inesperado. Intenta teletransportarte de nuevo.,El teletransporte falló debido a un error inesperado. Intenta teletransportarte de nuevo.,La téléportation a échoué en raison d'une erreur inattendue. Réessaie de te téléporter à nouveau.,Teleportasi gagal karena kesalahan tidak terduga. Coba lagi.,Teletrasporto non riuscito a causa di un errore imprevisto. Riprova a teletrasportarti.,予期しないエラーのためテレポートできませんでした。もう一度、テレポートしてみてください。,예기치 못한 오류로 인해 텔레포트에 실패했습니다. 다시 시도해 보세요.,O teletransporte falhou devido a um erro inesperado. Tente teletransportar novamente.,O teletransporte falhou devido a um erro inesperado. Tente teletransportar novamente.,Телепорт не удался из-за непредвиденной ошибки. Повтори попытку.,เทเลพอร์ตไม่สำเร็จเนื่องจากข้อผิดพลาดที่ไม่คาดคิด โปรดลองเทเลพอร์ตอีกครั้ง,由于意外错误，传送失败。请尝试再次传送。,發生意外錯誤而傳送失敗。請再傳送一次。,由于意外错误，传送失败。请尝试再次传送。,Teleportacja nie powiodła się z powodu nieoczekiwanego błędu. Spróbuj się teleportować ponownie.,Không dịch chuyển được do có lỗi không lường trước. Vui lòng thử dịch chuyển lại.,Beklenmedik bir hata nedeniyle ışınlanma başarısız oldu. Lütfen tekrar ışınlanmayı dene.,تعذّر الانتقال الفوري بسبب خطأ غير متوقع. الرجاء محاولة الانتقال مجددًا.
InGame.ConnectionError.TeleportFailure,,,Teleport failed due to an unexpected error. Please try teleporting again.,Teleport ist aufgrund eines unerwarteten Fehlers fehlgeschlagen. Bitte versuche es erneut.,Teleport failed due to an unexpected error. Please try teleporting again.,El teletransporte falló debido a un error inesperado. Intenta teletransportarte de nuevo.,El teletransporte falló debido a un error inesperado. Intenta teletransportarte de nuevo.,La téléportation a échoué en raison d'une erreur inattendue. Réessaie de te téléporter à nouveau.,Teleportasi gagal karena kesalahan tidak terduga. Coba lagi.,Teletrasporto non riuscito a causa di un errore imprevisto. Riprova a teletrasportarti.,予期しないエラーのためテレポートできませんでした。もう一度、テレポートしてみてください。,예기치 못한 오류로 인해 텔레포트에 실패했습니다. 다시 시도해 보세요.,O teletransporte falhou devido a um erro inesperado. Tente teletransportar novamente.,O teletransporte falhou devido a um erro inesperado. Tente teletransportar novamente.,Телепорт не удался из-за непредвиденной ошибки. Повтори попытку.,เทเลพอร์ตไม่สำเร็จเนื่องจากข้อผิดพลาดที่ไม่คาดคิด โปรดลองเทเลพอร์ตอีกครั้ง,由于意外错误，传送失败。请尝试再次传送。,發生意外錯誤而傳送失敗。請再傳送一次。,由于意外错误，传送失败。请尝试再次传送。,Teleportacja nie powiodła się z powodu nieoczekiwanego błędu. Spróbuj się teleportować ponownie.,Không dịch chuyển được do có lỗi không lường trước. Vui lòng thử dịch chuyển lại.,Beklenmedik bir hata nedeniyle ışınlanma başarısız oldu. Lütfen tekrar ışınlanmayı dene.,تعذّر الانتقال الفوري بسبب خطأ غير متوقع. الرجاء محاولة الانتقال مجددًا.
InGame.ConnectionError.TeleportFlooded,,,Too many teleport requests. Please try again later.,Zu viele Teleportanfragen. Bitte versuche es später erneut.,Too many teleport requests. Please try again later.,Demasiadas solicitudes de teletransporte. Vuelve a intentarlo más tarde.,Demasiadas solicitudes de teletransporte. Vuelve a intentarlo más tarde.,Trop de demandes de téléportation. Réessayer plus tard.,Terlalu banyak permintaan teleportasi. Coba lagi nanti.,Troppe richieste di teletrasporto. Riprova più tardi.,テレポートのリクエスト回数が多すぎます。後でもう一度お試しください。,텔레포트 요청이 너무 많습니다. 나중에 다시 시도하세요.,Muitas solicitações de teletransporte. Tente novamente mais tarde.,Muitas solicitações de teletransporte. Tente novamente mais tarde.,Слишком много запросов телепорта. Повтори попытку позже.,มีการดำเนินการซ้ำมากเกินไป โปรดลองอีกครั้งในภายหลัง,传送请求次数过多。请稍后重试。,太多傳送要求，請稍後再試。,传送请求次数过多。请稍后重试。,Otrzymano zbyt wiele próśb dotyczących teleportacji. Spróbuj ponownie później.,Có quá nhiều yêu cầu dịch chuyển. Vui lòng thử lại sau.,Çok fazla ışınlanma talebinde bulunuldu. Lütfen daha sonra tekrar dene.,محاولات انتقال فوري كثيرة. الرجاء التريث ثم المحاولة لاحقًا.
InGame.ConnectionError.TeleportGameEnded,,,Server is no longer available. Please try a different one or attempt later.,Der Server ist nicht mehr verfügbar. Bitte versuche es mit einem anderen Server oder versuche es später erneut.,Server is no longer available. Please try a different one or attempt later.,El servidor ya no está disponible. Prueba uno diferente o intenta más tarde.,El servidor ya no está disponible. Prueba uno diferente o intenta más tarde.,Le serveur n'est plus disponible. En essayer un autre ou réessaie plus tard.,Server tidak lagi tersedia. Coba server yang berbeda atau coba lagi nanti.,Il server non è più disponibile. Prova uno diverso o prova più tardi.,サーバーはもう利用できません。別のサーバーを試すか、後で試してください。,서버를 더 이상 이용할 수 없습니다. 다른 서버를 시도하거나 나중에 시도하세요.,O servidor não está mais disponível. Tente outro ou tente mais tarde.,O servidor não está mais disponível. Tente outro ou tente mais tarde.,Сервер больше не доступен. Попробуй другой или повтори попытку позже.,ไม่สามารถใช้งานเซิร์ฟเวอร์ได้อีกต่อไป โปรดลองใช้เซิร์ฟเวอร์อื่นหรือลองอีกครั้งในภายหลัง,服务器不再可用。请尝试另一个或稍后重试。,伺服器已無法使用。請嘗試另一個伺服器或稍後再試。,服务器不再可用。请尝试另一个或稍后重试。,Serwer nie jest już dostępny. Spróbuj użyć innego serwera lub ponów próbę później.,Máy chủ không còn hoạt động nữa. Vui lòng thử một máy chủ khác hoặc thử sau.,Sunucu artık kullanılamıyor. Lütfen farklı bir sunucuyu dene veya daha sonra tekrar dene.,الخادم لم يعد متوفرًا. الرجاء استخدام خادم مختلف أو المحاولة لاحقًا.
InGame.ConnectionError.TeleportGameFull,,,Server is full. Please try again later or use another server.,Server ist voll. Bitte versuche es später erneut oder verwende einen anderen Server.,Server is full. Please try again later or use another server.,El servidor está lleno. Vuelve a intentarlo más tarde o usa otro servidor.,El servidor está lleno. Vuelve a intentarlo más tarde o usa otro servidor.,Le serveur est plein. Veuillez réessayer plus tard ou utiliser un autre serveur.,Server penuh. Coba lagi nanti atau gunakan server yang berbeda.,Il server è pieno. Riprova più tardi o usa un altro server.,サーバーがいっぱいです。また後で試すか、別のサーバーを使用してください。,서버가 가득 찼습니다. 나중에 다시 시도하거나 다른 서버를 이용하세요.,O servidor está cheio. Tente novamente mais tarde ou use outro servidor.,O servidor está cheio. Tente novamente mais tarde ou use outro servidor.,Сервер переполнен. Повтори попытку позже или используй другой сервер.,เซิร์ฟเวอร์เต็มแล้ว โปรดลองอีกครั้งในภายหลังหรือใช้เซิร์ฟเวอร์อื่น,服务器已满。请稍后重试或使用其他服务器。,伺服器已滿。請稍後再試，或使用其他伺服器。,服务器已满。请稍后重试或使用其他服务器。,Serwer jest pełny. Spróbuj ponownie później lub użyj innego serwera.,Máy chủ đã đầy. Vui lòng thử lại sau hoặc sử dụng một máy chủ khác.,Sunucu dolu. Lütfen daha sonra tekrar dene veya başka bir sunucu kullan.,الخادم ممتلئ. الرجاء المحاولة لاحقًا أو الانضمام لخادم آخر.
InGame.ConnectionError.TeleportGameNotFound,,,Cannot find the destination place. Please double check and try again.,Der Zielort kann nicht gefunden werden. Bitte überprüfe ihn und versuche es erneut.,Cannot find the destination place. Please double check and try again.,No se puede encontrar el lugar de destino. Revisa e intenta de nuevo.,No se puede encontrar el lugar de destino. Revisa e intenta de nuevo.,Impossible de trouver le lieu de destination. Vérifier et réessayer.,Tidak dapat menemukan tempat tujuan. Periksa kembali lalu coba lagi.,Impossibile trovare il luogo di destinazione. Per favore controlla e riprova.,行き先のプレースが見つかりません。確認してから、もう一度やり直してください。,목적지를 찾을 수 없습니다. 다시 한번 확인한 후 재시도하세요.,Não foi possível encontrar o local de destino. Verifique e tente novamente.,Não foi possível encontrar o local de destino. Verifique e tente novamente.,Невозможно найти место назначения. Перепроверь и повтори попытку.,ไม่พบสถานที่ปลายทาง โปรดตรวจสอบแล้วลองอีกครั้ง,无法找到目的地。请再次检查并重试。,找不到目的地空間。請仔細確認後再試一次。,无法找到目的地。请再次检查并重试。,Nie można znaleźć miejsca docelowego. Sprawdź je i spróbuj ponownie.,Không thể tìm được địa điểm mục tiêu. Vui lòng kiểm tra và thử lại.,Hedef dünya bulunamıyor. Lütfen bir kez daha kontrol edip tekrar dene.,لا يمكن العثور على المكان المقصود. الرجاء التحقق منه ثم المحاولة مرة أخرى.
InGame.ConnectionError.TeleportUnauthorized,,,Attempted to teleport to a place that is restricted.,"Du hast versucht, dich an einen zugangsbeschränkten Ort zu teleportieren.",Attempted to teleport to a place that is restricted.,Se intentó teletransportarse a un lugar que está restringido.,Se intentó teletransportarse a un lugar que está restringido.,Vous avez tenté de vous téléporter dans un emplacement à accès restreint.,Mencoba berteleportasi ke tempat yang dibatasi.,Tentativo di teletrasporto verso una località riservata.,制限された場所へのテレポートを試みました。,이용이 제한된 플레이스로 텔레포트를 시도했습니다.,Tentativa de se teleportar para um local restrito.,Tentativa de se teleportar para um local restrito.,Попытка телепорта в запрещённое место.,พยายามเทเลพอร์ตไปยังสถานที่ที่มีการจำกัดอยู่,尝试传送至受限场景。,您嘗試傳送的空間受到限制。,尝试传送至受限场景。,Próbowano teleportować się do miejsca o ograniczonym dostępie.,Cố gắng dịch chuyển đến một địa điểm bị hạn chế.,Kısıtlamaya sahip bir dünyaya ışınlanmaya çalışıldı.,أنتَ تحاول الانتقال الفوري إلى مكان مقيّد.
InGame.ConnectionError.Title.Disconnected,,,Disconnected,Verbindung getrennt,Disconnected,Desconectado,Desconectado,Déconnecté,Koneksi Terputus,Disconnesso,切断されました,연결 끊김,Desconectado,Desconectado,Отключено,ยกเลิกการเชื่อมต่อแล้ว,连接已断开,連線中斷,连接已断开,Rozłączono,Mất kết nối,Bağlantı kesildi,غير متّصل
InGame.ConnectionError.Title.ExperienceUnstable,,,Experience Unstable,Experience ist instabil,Experience Unstable,Experiencia inestable,Experiencia inestable,Expérience instable,Pengalaman Virtual Tidak Stabil,Esperienza Non Stabile,バーチャル空間が不安定です,체험이 불안정함,Experiência instável,Experiência instável,Неустойчивый плейс,ประสบการณ์ไม่เสถียร,作品不稳定,體驗不穩定,作品不稳定,Projekt jest niestabilny,Trải Nghiệm Không Ổn Định,Deneyim Dengesiz,أداء التجربة غير مستقر
InGame.ConnectionError.Title.JoinError,,,Join Error,Verbindungsfehler,Join Error,Error al unirse,Error al unirse,Erreur de connexion,Eror saat Bergabung,Errore di accesso,参加エラー,참가 오류 발생,Erro ao entrar,Erro ao entrar,Ошибка присоединения,เกิดข้อผิดพลาดในการเข้าร่วม,加入错误,加入時發生錯誤,加入错误,Błąd dołączania,Lỗi Khi Gia Nhập,Katılım Hatası,خطأ في الانضمام
InGame.ConnectionError.Title.LowMemoryWarning,,,Low Memory Warning,Warnung: nicht genügend Speicher,Low Memory Warning,Advertencia de memoria baja,Advertencia de memoria baja,Avertissement mémoire faible,Peringatan Memori Hampir Habis,Avviso di bassa memoria,メモリ不足の警告,메모리 부족 경고,Aviso de memória baixa,Aviso de memória baixa,Предупреждение о нехватке памяти,คำเตือน: หน่วยความจำเหลือน้อย,内存不足警告,記憶體不足警告,内存不足警告,Ostrzeżenie dotyczące małej ilości pamięci,Cảnh Báo Bộ Nhớ Thấp,Düşük Bellek Uyarısı,تحذير بسبب انخفاض الذاكرة
InGame.ConnectionError.Title.OutOfMemory,,,Out of Memory,Kein Speicher mehr,Out of Memory,Sin memoria,Sin memoria,Mémoire insuffisante,Memori Habis,Memoria esaurita,メモリ不足です,메모리 부족,Memória insuficiente,Memória insuficiente,Недостаточно памяти,หน่วยความจำไม่เพียงพอ,内存不足,記憶體不足,内存不足,Za mało pamięci,Hết Bộ Nhớ,Bellek Yetersiz,نفاذ الذاكرة
InGame.ConnectionError.Title.TeleportFailed,,,Teleport Failed,Teleportation gescheitert,Teleport Failed,Error en la teletransportación,Error en la teletransportación,Erreur de téléportation,Teleportasi Gagal,Teletrasporto non riuscito,テレポートできませんでした,텔레포트 실패,Falha no teleporte,Falha no teleporte,Телепорт не удался,เทเลพอร์ตไม่สำเร็จ,传送失败,傳送失敗,传送失败,Teleportacja nie powiodła się,Dịch Chuyển Thất Bại,Işınlanma Başarısız,فشل الانتقال السريع
InGame.ConnectionError.UnknownError,,,Unknown error.,Unbekannter Fehler.,Unknown error.,Error desconocido.,Error desconocido.,Erreur inconnue.,Eror tidak diketahui.,Errore imprevisto.,不明なエラーです。,알 수 없는 오류.,Erro desconhecido.,Erro desconhecido.,Неизвестная ошибка.,ข้อผิดพลาดที่ไม่ทราบสาเหตุ,未知错误。,未知錯誤。,未知错误。,Nieznany błąd.,Lỗi không xác định.,Bilinmeyen hata.,خطأ غير معروف.
InGame.ConnectionError.Waiting,,,Waiting for an available server,Warte auf verfügbaren Server,Waiting for an available server,Esperando un servidor disponible,Esperando un servidor disponible,En attente d'un serveur disponible,Menunggu server yang tersedia,Aspettando un server disponibile,使用可能なサーバを待っています,이용 가능한 서버를 기다리는 중,Aguardando um servidor disponível,Aguardando um servidor disponível,Ожидание доступного сервера,กำลังรอเซิร์ฟเวอร์ที่พร้อมใช้งาน,正在等待可用服务器,正在等待可用伺服器,正在等待可用服务器,Oczekiwanie na dostępny serwer,Chờ một máy chủ khả dụng,Kullanılabilir bir sunucu bekleniyor,في انتظار خادم متاح
,,,/join <channel> or /j <channel> : join channel.,/join <Kanal> oder /j <Kanal> : Kanal beitreten,/join <channel> or /j <channel> : join channel.,/join <channel> o /j <channel>: unirse al canal.,/join <channel> o /j <channel>: unirse al canal.,/join <canal> ou /j <canal> : rejoindre le canal.,/join <channel> atau /j <channel> : bergabung ke channel.,/join <canale> o /j <canale>: accedi al canale.,/join <チャンネル> または /j <チャンネル> : チャンネルに参加。,/join <채널> 또는 /j <채널> : 채널 가입.,/join <channel> ou /j <channel> : juntar-se a um canal.,/join <channel> ou /j <channel> : juntar-se a um canal.,/join <channel> или /j <channel> : подключиться к каналу.,/join <แชนเนล> or /j <แชนเนล> : เข้าร่วมแชนเนล,/join <频道名称> or /j <频道名称> : 加入频道。,/join <頻道名稱> or /j <頻道名稱>：加入頻道。,/join <频道名称> or /j <频道名称> : 加入频道。,/join <kanał> lub /j <kanał>: dołączenie do kanału.,/join <channel> hoặc /j <channel> : tham gia kênh.,/join <channel> veya /j <channel>: kanala katıl.,/join <channel> أو /j <channel> : الانضمام إلى قناة.
,,,/leave <channel> or /l <channel> : leave channel. (leaves current if none specified),/leave <Kanal> oder /l <Kanal> : Kanal verlassen. (Ohne Angabe des Kanals wird der aktuelle Kanal verlassen.),/leave <channel> or /l <channel> : leave channel. (leaves current if none specified),/leave <canal> o /l <canal>: salir del canal (sale del canal actual si no se especifica ninguno).,/leave <canal> o /l <canal>: salir del canal (sale del canal actual si no se especifica ninguno).,/leave <canal> ou /l <canal> : quitter canal. (reste sur le même si aucun n'est spécifié),"/leave <channel> atau /l <channel> : keluar dari channel (jika tidak dispesifikasi, keluar dari channel yang sekarang)",/leave <canale> o /l <canale>: lascia il canale (quello attuale se non specificato).,/leave <チャンネル> または /l <チャンネル> : チャンネルから退出。 (指定しなければ現在のチャネルから退出します),/leave <채널> 또는 /l <채널> : 채널 나가기. (미지정 시 현재 채널에서 나가기),"/leave <channel> ou /l <channel> : sair do canal. (sai do atual, se não especificado)","/leave <channel> ou /l <channel> : sair do canal. (sai do atual, se não especificado)","/leave <channel> или /l <channel> : покинуть канал. (Ты покинешь текущий канал, если не укажешь другой.)",/leave <แชนเนล> or /l <แชนเนล> : ออกจากแชนเนล (ออกจากแชนเนลปัจจุบัน หากไม่ได้ระบุ),/leave <频道名称> 或 /l <频道名称> : 离开频道。（若未指定频道名称，你将离开当前频道）,/leave <頻道名稱> 或 /l <頻道名稱>：離開頻道。（若未指定頻道名稱，您將離開目前頻道）,/leave <频道名称> 或 /l <频道名称> : 离开频道。（若未指定频道名称，你将离开当前频道）,"/leave <kanał> lub /l <kanał>: opuszczenie kanału (jeśli nie określono kanału, opuszcza bieżący).",/leave <channel> hoặc /l <channel> : rời khỏi kênh. (rời khỏi nếu hiện không được chỉ định),/leave <channel> veya /l <channel>: kanaldan ayrıl. (hangisi olduğu belirtilmediği takdirde mevcut kanaldan ayrılır),/left <channel> أو l <channel> : مغادرة القناة. (لمغادرة القناة الحالية إذا لم يحدد غير ذلك)
,,,Account: 13+,Konto: 13+,Account: 13+,Cuenta: 13+,Cuenta: 13+,Compte : 13+,Akun: 13+,Account: più di 13 anni,アカウント:13+,계정: 만 13세 이상,Conta: 13+,Conta: 13+,Аккаунт: 13+,บัญชี: 13 ปีขึ้นไป,帐户：13+,帳號：13+,帐户：13+,Konto: 13+,Tài khoản: 13+,Hesap: 13+,الحساب: 13+
,,,Disconnected due to a bad hash,Verbindung aufgrund eines fehlerhaften Hashs unterbrochen,Disconnected due to a bad hash,Desconexión por un error de hash,Desconexión por un error de hash,Vous avez été déconnecté(e) en raison d'un mauvais hachage.,Koneksi terputus karena hash yang buruk,Disconnessione a causa di un cattivo funzionamento dell'hash,ハッシュが正しくないため接続が切断されました,잘못된 해시로 인해 연결이 끊어졌습니다,Desconexão devido a um erro de hash,Desconexão devido a um erro de hash,Соединение прервано из-за ошибок хеширования.,ยกเลิกการเชื่อมต่อเนื่องจากแฮชไม่ถูกต้อง,由于错误的哈希码，连接中断,特徵碼錯誤，連線中斷,由于错误的哈希码，连接中断,Rozłączono z powodu nieprawidłowego skrótu,Mất kết nối do hàm băm xấu,Kötü komut tablosu nedeniyle bağlantı kesildi,انقطع الاتصال بسبب عطل
,,,"Disconnected due to timeout, please reconnect",Aufgrund einer Zeitüberschreitung unterbrochen. Bitte erneut verbinden.,"Disconnected due to timeout, please reconnect",Desconexión por agotamiento del tiempo de espera. Conéctate de nuevo.,Desconexión por agotamiento del tiempo de espera. Conéctate de nuevo.,"Vous avez été déconnecté(e), car votre session a expiré. Veuillez vous reconnecter.",Koneksi terputus karena waktu habis. Hubungkan kembali.,Disconnessione a causa del time-out; è necessario riconnettersi,タイムアウトにより接続が失われました。再接続してください,시간 초과로 인해 연결이 끊어졌습니다. 다시 연결하세요.,Desconexão devido ao limite de tempo de espera ter sido atingido. Conecte-se novamente.,Desconexão devido ao limite de tempo de espera ter sido atingido. Conecte-se novamente.,Разрыв соединения из-за превышения времени ожидания. Установи соединение повторно.,ยกเลิกการเชื่อมต่อเนื่องจากหมดเวลา โปรดเชื่อมต่ออีกครั้ง,由于超时，连接已断开。请重新连接,連線逾時，請重新連線,由于超时，连接已断开。请重新连接,Rozłączono z powodu przekroczenia limitu czasu. Połącz się ponownie,"Mất kết nối do hết thời gian chờ, vui lòng kết nối lại","Zaman aşımı nedeniyle bağlantı kesildi, lütfen yeniden bağlan",انقطع الاتصال بسبب انقضاء المهلة. الرجاء إعادة الاتصال
,,,"Disconnected from experience, please reconnect","Verbindung zur Experience unterbrochen, bitte erneut verbinden","Disconnected from experience, please reconnect",Desconexión de la experiencia. Conéctate de nuevo,Desconexión de la experiencia. Conéctate de nuevo,"Déconnecté de l'expérience, reconnecte-toi",Koneksi dengan pengalaman virtual terputus. Hubungkan kembali.,"Disconnesso dall'esperienza, riconnettiti",バーチャル空間への接続が切断されました。再接続してください,체험 연결이 끊어졌습니다. 다시 접속하세요.,Você foi desconectado(a) da experiência. Conecte-se novamente,Você foi desconectado(a) da experiência. Conecte-se novamente,Соединение прервано. Необходимо подключиться повторно,ยกเลิกการเชื่อมต่อกับประสบการณ์แล้ว โปรดเชื่อมต่ออีกครั้ง,连接中断，请重新连接,連線中斷，請重新連線,连接中断，请重新连接,Rozłączono z projektem. Połącz się ponownie.,"Mất kết nối khỏi trải nghiệm, vui lòng kết nối lại","Deneyimle bağlantı kesildi, lütfen yeniden bağlan",انقطع الاتصال بالتجربة. الرجاء إعادة الاتصال
,,,"Disconnected from experience, please reconnect. {RET:translate}...({COUNT:int})",Verbindung zur Experience unterbrochen. Bitte erneut verbinden.. {RET:translate}...({COUNT:int}),"Disconnected from experience, please reconnect. {RET:translate}...({COUNT:int})",Desconectado de la experiencia. Conéctate de nuevo. {RET:translate}...({COUNT:int}),Desconectado de la experiencia. Conéctate de nuevo. {RET:translate}...({COUNT:int}),"Déconnecté de l'expérience, reconnecte-toi. {RET:translate}...({COUNT:int})",Koneksi dengan pengalaman virtual terputus. Hubungkan kembali. {RET:translate}...({COUNT:int}),"Disconnesso dall'esperienza, riconnettiti. {RET:translate}...({COUNT:int})",バーチャル空間への接続が切断されました。再接続してください。 {RET:translate}...({COUNT:int}),체험 연결이 끊어졌습니다. 다시 접속하세요.. {RET:translate}...({COUNT:int}),Você foi desconectado(a) da experiência. Conecte-se novamente.. {RET:translate}...({COUNT:int}),Você foi desconectado(a) da experiência. Conecte-se novamente.. {RET:translate}...({COUNT:int}),Соединение прервано. Необходимо подключиться повторно. {RET:translate}...({COUNT:int}),ยกเลิกการเชื่อมต่อกับประสบการณ์แล้ว โปรดเชื่อมต่ออีกครั้ง {RET:translate}...({COUNT:int}),连接中断，请重新连接。 {RET:translate}...（{COUNT:int}）,連線中斷，請重新連線。{RET:translate}……（{COUNT:int}）,连接中断，请重新连接。 {RET:translate}...（{COUNT:int}）,Rozłączono z projektem. Połącz się ponownie. {RET:translate}... ({COUNT:int}),"Mất kết nối khỏi trải nghiệm, vui lòng kết nối lại. {RET:translate}...({COUNT:int})","Deneyimle bağlantı kesildi, lütfen yeniden bağlan. {RET:translate}...({COUNT:int})",انقطع الاتصال بالتجربة، الرجاء إعادة الاتصال. {RET:translate}...({COUNT:int})
